sim_num,parent,fitness,seed,gravity,generation,Sensor,Body (Sphere),Joint,Neuron,Wire,morpho_comp,cogni_comp,total_comp
0,20,31.9293,0,-4,99,12,23,13,15,11,23,38,61
3,20,34.8445,0,-4,99,14,24,14,13,10,24,37,61
9,36,72.5112,0,-4,99,9,25,15,15,10,25,34,59
15,21,190.49,0,-4,99,11,22,13,10,7,22,28,50
6,29,189.139,0,-4,99,11,25,14,11,8,25,30,55
12,9,76.4069,0,-4,99,14,24,14,15,10,24,39,63
4,29,24.0112,0,-4,99,11,25,15,11,10,25,32,57
16,21,53.9744,0,-4,99,11,22,14,13,7,22,31,53
13,9,31.0463,0,-4,99,16,26,15,16,7,26,39,65
1,20,63.8474,0,-4,99,15,22,15,15,9,22,39,61
10,36,90.5845,0,-4,99,8,25,14,18,11,25,37,62
5,29,32.1666,0,-4,99,11,24,15,10,7,24,28,52
7,29,41.7599,0,-4,99,12,24,16,12,8,24,32,56
14,9,16.1148,0,-4,99,15,19,15,17,8,19,40,59
2,20,42.8334,0,-4,99,14,23,15,15,8,23,37,60
17,21,85.6577,0,-4,99,14,23,14,10,6,23,30,53
11,36,47.9667,0,-4,99,8,24,13,16,12,24,36,60
18,23,37.2969,0,-4,99,12,27,14,13,6,27,31,58
8,36,67.5181,0,-4,99,9,22,16,16,11,22,36,58
27,18,13.2329,0,-4,99,15,19,15,17,10,19,42,61
21,10,118.999,0,-4,99,14,21,12,16,8,21,38,59
24,31,140.498,0,-4,99,14,25,15,14,6,25,34,59
19,23,151.779,0,-4,99,12,24,14,14,7,24,33,57
22,10,104.381,0,-4,99,12,24,14,15,7,24,34,58
33,13,48.0475,0,-4,99,13,20,12,12,10,20,35,55
30,42,30.9733,0,-4,99,12,21,14,14,9,21,35,56
25,31,12.0631,0,-4,99,12,24,15,15,7,24,34,58
28,18,99.3673,0,-4,99,14,23,16,16,11,23,41,64
20,23,19.844,0,-4,99,10,25,14,14,7,25,31,56
34,55,18.3068,0,-4,99,14,25,11,17,8,25,39,64
23,10,1.94411,0,-4,99,13,21,14,18,9,21,40,61
26,31,85.8296,0,-4,99,14,23,15,16,6,23,36,59
31,42,40.0834,0,-4,99,10,24,15,18,8,24,36,60
29,18,91.7744,0,-4,99,13,21,16,15,10,21,38,59
35,55,61.5949,0,-4,99,15,23,13,16,7,23,38,61
36,43,4.44002,0,-4,99,9,27,13,17,7,27,33,60
32,13,16.1148,0,-4,99,15,20,12,13,10,20,38,58
42,26,115.715,0,-4,99,12,24,13,12,7,24,31,55
45,8,0.354031,0,-4,99,14,25,15,14,10,25,38,63
39,46,27.4053,0,-4,99,13,23,13,11,7,23,31,54
48,54,49.1527,0,-4,99,11,24,12,14,11,24,36,60
37,43,30.0586,0,-4,99,8,26,13,15,12,26,35,61
51,15,135.064,0,-4,99,13,19,14,11,12,19,36,55
43,26,13.0424,0,-4,99,8,25,15,12,5,25,25,50
46,19,69.7303,0,-4,99,14,25,15,13,9,25,36,61
40,47,252.996,0,-4,99,13,26,12,12,8,26,33,59
49,28,163.122,0,-4,99,13,26,13,9,10,26,32,58
38,46,90.3806,0,-4,99,12,22,13,11,10,22,33,55
52,33,31.0813,0,-4,99,13,25,14,15,9,25,37,62
41,47,2.23907,0,-4,99,11,20,16,12,9,20,32,52
47,19,35.1471,0,-4,99,12,26,15,13,9,26,34,60
44,8,34.664,0,-4,99,16,23,15,16,7,23,39,62
54,45,99.5691,0,-4,99,11,25,8,7,11,25,29,54
50,5,13.5379,0,-4,99,16,25,10,11,5,25,32,57
53,32,65.1711,0,-4,99,14,23,13,17,6,23,37,60
57,4,65.2863,0,-4,99,12,28,12,12,10,28,34,62
55,40,16.8992,0,-4,99,14,27,14,18,9,27,41,68
58,48,16.2773,0,-4,99,10,24,14,10,11,24,31,55
56,1,10.161,0,-4,99,14,24,13,16,10,24,40,64
59,12,18.7143,0,-4,99,13,22,12,12,13,22,38,60
3,19,1.9481,0,-7,99,16,24,9,11,14,24,41,65
0,19,70.5174,0,-7,99,12,29,12,13,8,29,33,62
9,7,82.8109,0,-7,99,9,19,13,9,14,19,32,51
15,13,81.9123,0,-7,99,8,18,15,14,17,18,39,57
12,1,153.767,0,-7,99,10,24,13,10,11,24,31,55
6,56,73.2761,0,-7,99,13,27,12,12,14,27,39,66
4,56,166.169,0,-7,99,15,21,13,15,14,21,44,65
1,19,65.2986,0,-7,99,15,24,6,12,13,24,40,64
16,13,126.914,0,-7,99,11,21,13,11,13,21,35,56
10,7,99.325,0,-7,99,11,22,12,9,15,22,35,57
13,1,6.68468,0,-7,99,12,23,13,11,15,23,38,61
7,56,16.4834,0,-7,99,14,20,13,13,14,20,41,61
5,56,104.309,0,-7,99,13,20,13,13,14,20,40,60
2,19,8.05011,0,-7,99,15,26,9,11,12,26,38,64
11,7,84.0305,0,-7,99,10,22,13,11,16,22,37,59
8,7,15.9737,0,-7,99,8,21,10,10,15,21,33,54
17,13,21.7626,0,-7,99,12,20,10,12,13,20,37,57
18,27,88.2777,0,-7,99,11,26,10,7,11,26,29,55
14,1,0.112629,0,-7,99,13,20,14,12,11,20,36,56
30,16,9.28775,0,-7,99,12,24,11,8,15,24,35,59
19,27,23.6639,0,-7,99,10,28,10,6,13,28,29,57
27,40,119.406,0,-7,99,15,24,8,7,11,24,33,57
24,25,16.5896,0,-7,99,14,26,10,10,13,26,37,63
21,48,4.92802,0,-7,99,13,21,10,9,11,21,33,54
33,17,125.288,0,-7,99,10,25,9,7,13,25,30,55
31,16,80.5079,0,-7,99,11,29,7,8,13,29,32,61
20,27,89.1893,0,-7,99,12,26,7,8,8,26,28,54
28,40,116.67,0,-7,99,12,28,8,6,8,28,26,54
25,25,2.76418,0,-7,99,15,27,9,11,13,27,39,66
34,10,38.7627,0,-7,99,5,23,11,12,8,23,25,48
22,48,11.3122,0,-7,99,12,24,11,8,12,24,32,56
32,17,17.0952,0,-7,99,12,27,8,6,12,27,30,57
26,25,49.903,0,-7,99,13,28,9,12,13,28,38,66
35,10,65.3018,0,-7,99,5,26,13,10,7,26,22,48
29,40,66.7943,0,-7,99,12,28,8,8,12,28,32,60
36,43,100.714,0,-7,99,14,25,11,7,10,25,31,56
39,15,62.9072,0,-7,99,10,25,13,7,13,25,30,55
42,57,41.527,0,-7,99,11,25,7,10,7,25,28,53
23,48,36.0676,0,-7,99,11,24,11,9,12,24,32,56
48,32,1.53255,0,-7,99,10,28,11,11,11,28,32,60
45,3,62.0883,0,-7,99,11,26,10,11,13,26,35,61
37,43,38.7627,0,-7,99,13,28,8,6,9,28,28,56
40,4,49.1417,0,-7,99,15,24,12,9,13,24,37,61
43,57,45.222,0,-7,99,10,26,10,12,7,26,29,55
51,53,62.4471,0,-7,99,9,29,11,7,14,29,30,59
46,50,2.40509,0,-7,99,9,25,9,12,9,25,30,55
38,15,127.091,0,-7,99,11,24,9,7,13,24,31,55
49,52,63.9366,0,-7,99,15,23,10,7,11,23,33,56
41,4,18.2986,0,-7,99,10,23,13,10,14,23,34,57
47,50,74.114,0,-7,99,9,25,8,11,10,25,30,55
44,3,225.074,0,-7,99,12,22,11,11,13,22,36,58
52,39,21.4991,0,-7,99,13,28,12,14,13,28,40,68
50,29,41.1557,0,-7,99,11,24,10,8,11,24,30,54
54,24,75.4147,0,-7,99,14,26,10,9,13,26,36,62
57,0,78.2806,0,-7,99,13,21,10,12,12,21,37,58
53,49,55.6182,0,-7,99,11,26,9,8,15,26,34,60
55,28,60.3507,0,-7,99,9,29,11,7,13,29,29,58
58,46,3.33302,0,-7,99,10,20,9,14,10,20,34,54
56,41,40.9247,0,-7,99,14,27,9,8,9,27,31,58
59,20,43.662,0,-7,99,16,27,10,12,10,27,38,65
6,29,77.8232,0,-10,99,17,31,6,10,12,31,39,70
12,27,216.932,0,-10,99,19,22,7,9,12,22,40,62
0,34,103.071,0,-10,99,14,24,10,10,13,24,37,61
15,46,66.5822,0,-10,99,19,25,15,13,6,25,38,63
9,47,109.806,0,-10,99,18,26,13,11,7,26,36,62
3,34,14.3129,0,-10,99,14,28,10,11,13,28,38,66
7,29,41.2206,0,-10,99,21,23,8,13,10,23,44,67
13,27,22.0188,0,-10,99,19,27,11,13,9,27,41,68
10,47,3.99985,0,-10,99,20,26,10,11,8,26,39,65
4,29,37.7176,0,-10,99,19,26,8,11,12,26,42,68
16,46,7.63426,0,-10,99,18,26,15,12,6,26,36,62
1,34,39.295,0,-10,99,13,26,14,11,14,26,38,64
8,47,67.7554,0,-10,99,20,27,11,10,5,27,35,62
14,27,186.518,0,-10,99,19,25,9,11,11,25,41,66
5,29,103.224,0,-10,99,19,28,7,14,11,28,44,72
11,47,107.243,0,-10,99,20,27,10,12,8,27,40,67
2,34,72.5016,0,-10,99,14,24,11,11,12,24,37,61
17,46,104.176,0,-10,99,18,24,12,13,6,24,37,61
18,24,104.569,0,-10,99,17,30,13,19,8,30,44,74
21,58,161.694,0,-10,99,14,28,11,11,15,28,40,68
30,19,115.901,0,-10,99,16,24,14,15,15,24,46,70
19,24,104.569,0,-10,99,14,33,13,17,11,33,42,75
24,23,28.3559,0,-10,99,17,29,15,10,8,29,35,64
27,56,32.5675,0,-10,99,12,25,13,13,17,25,42,67
33,57,110.535,0,-10,99,15,23,16,13,8,23,36,59
31,19,46.8538,0,-10,99,14,25,14,13,15,25,42,67
20,24,75.3451,0,-10,99,19,32,15,15,8,32,42,74
22,58,67.6513,0,-10,99,15,26,13,11,16,26,42,68
25,23,8.28659,0,-10,99,18,33,14,10,6,33,34,67
28,56,44.5774,0,-10,99,15,28,10,11,15,28,41,69
34,15,170.723,0,-10,99,18,20,12,16,10,20,44,64
32,57,25.2694,0,-10,99,16,26,11,16,10,26,42,68
23,58,92.9058,0,-10,99,15,27,10,13,14,27,42,69
36,50,3.34666,0,-10,99,17,27,12,17,9,27,43,70
26,23,76.7488,0,-10,99,21,27,15,9,5,27,35,62
35,15,78.062,0,-10,99,21,19,13,17,10,19,48,67
39,42,1.2431,0,-10,99,14,28,12,9,15,28,38,66
29,56,108.284,0,-10,99,14,28,11,13,16,28,43,71
42,3,23.2304,0,-10,99,17,29,13,15,8,29,40,69
37,50,21.1854,0,-10,99,16,28,12,11,8,28,35,63
45,20,34.7368,0,-10,99,12,26,10,11,11,26,34,60
48,37,12.5575,0,-10,99,16,29,14,17,9,29,42,71
51,5,83.9307,0,-10,99,14,23,13,10,18,23,42,65
40,7,9.46605,0,-10,99,12,28,14,10,14,28,36,64
43,3,115.341,0,-10,99,17,30,11,16,7,30,40,70
46,0,22.1346,0,-10,99,18,29,11,14,5,29,37,66
38,42,34.4298,0,-10,99,13,27,14,8,14,27,35,62
52,12,9.06323,0,-10,99,16,24,9,10,11,24,37,61
49,39,49.9583,0,-10,99,16,26,12,12,8,26,36,62
44,20,27.2922,0,-10,99,14,26,13,11,12,26,37,63
41,7,75.2276,0,-10,99,14,26,14,12,18,26,44,70
47,0,11.5464,0,-10,99,20,25,10,13,5,25,38,63
54,44,61.3889,0,-10,99,16,30,12,14,9,30,39,69
53,13,62.8885,0,-10,99,16,27,8,12,14,27,42,69
50,35,17.0325,0,-10,99,16,27,9,11,13,27,40,67
57,18,47.6345,0,-10,99,18,26,13,10,13,26,41,67
55,17,8.35397,0,-10,99,19,20,13,12,12,20,43,63
56,28,10.7453,0,-10,99,19,24,9,12,11,24,42,66
58,51,8.61898,0,-10,99,17,29,13,12,5,29,34,63
59,40,10.5383,0,-10,99,10,29,18,14,14,29,38,67
3,52,163.731,0,-13,99,12,24,14,8,11,24,31,55
0,52,181.237,0,-13,99,12,23,17,8,10,23,30,53
6,11,68.1946,0,-13,99,12,23,11,10,12,23,34,57
9,45,94.6741,0,-13,99,7,27,16,13,15,27,35,62
15,21,29.6834,0,-13,99,9,27,17,9,12,27,30,57
12,20,94.5245,0,-13,99,12,25,14,9,12,25,33,58
1,52,232.675,0,-13,99,15,21,16,11,10,21,36,57
4,11,41.398,0,-13,99,10,23,12,12,13,23,35,58
16,21,116.281,0,-13,99,12,26,16,9,11,26,32,58
7,11,168.8,0,-13,99,13,25,13,11,12,25,36,61
13,20,45.4801,0,-13,99,14,26,13,11,10,26,35,61
10,45,20.8867,0,-13,99,7,26,14,11,15,26,33,59
2,52,80.4362,0,-13,99,10,22,15,9,13,22,32,54
17,21,1.89436,0,-13,99,13,21,17,9,10,21,32,53
5,11,9.23215,0,-13,99,10,22,13,12,13,22,35,57
8,45,13.8222,0,-13,99,6,24,15,14,15,24,35,59
14,20,117.296,0,-13,99,11,25,16,12,11,25,34,59
21,4,166.825,0,-13,99,10,25,18,9,10,25,29,54
18,23,185.507,0,-13,99,10,26,17,10,10,26,30,56
11,45,19.5427,0,-13,99,7,24,15,12,16,24,35,59
22,4,4.6291,0,-13,99,11,26,20,10,10,26,31,57
30,38,1.10041,0,-13,99,9,23,11,12,10,23,31,54
24,26,263.593,0,-13,99,12,18,15,13,12,18,37,55
27,6,17.342,0,-13,99,10,23,18,9,9,23,28,51
19,23,151.217,0,-13,99,11,23,19,11,9,23,31,54
33,33,23.7985,0,-13,99,11,26,22,13,12,26,36,62
25,26,65.7436,0,-13,99,12,19,15,11,10,19,33,52
31,38,109.418,0,-13,99,9,26,12,12,9,26,30,56
28,6,32.7977,0,-13,99,11,23,17,10,12,23,33,56
23,4,35.398,0,-13,99,12,22,20,9,11,22,32,54
34,54,92.0325,0,-13,99,11,23,18,11,9,23,31,54
35,54,0.0,0,-13,99,10,23,17,12,11,23,33,56
20,23,88.5209,0,-13,99,10,30,19,5,10,30,25,55
26,26,13.8074,0,-13,99,10,23,13,13,11,23,34,57
32,33,54.3941,0,-13,99,10,29,20,13,11,29,34,63
45,56,0.0,0,-13,99,15,27,17,12,10,27,37,64
29,6,40.5126,0,-13,99,9,25,17,10,10,25,29,54
36,57,19.9292,0,-13,99,7,27,16,11,13,27,31,58
39,1,76.4618,0,-13,99,5,26,15,10,7,26,22,48
42,49,69.0364,0,-13,99,11,19,17,16,12,19,39,58
46,36,28.9641,0,-13,99,15,13,19,4,12,13,31,44
48,46,30.397,0,-13,99,10,24,13,14,11,24,35,59
51,48,12.9343,0,-13,99,9,28,12,15,12,28,36,64
37,57,96.555,0,-13,99,10,23,18,12,13,23,35,58
52,14,0.0,0,-13,99,19,12,15,4,9,12,32,44
47,36,35.4007,0,-13,99,16,14,14,5,14,14,35,49
40,16,90.9006,0,-13,99,12,32,13,8,14,32,34,66
43,49,188.929,0,-13,99,10,19,17,13,11,19,34,53
49,0,71.3826,0,-13,99,9,25,9,13,6,25,28,53
38,1,179.845,0,-13,99,4,26,14,9,7,26,20,46
44,56,125.418,0,-13,99,14,24,16,13,10,24,37,61
41,16,0.210047,0,-13,99,12,29,13,10,15,29,37,66
53,31,5.25732,0,-13,99,11,25,15,17,11,25,39,64
54,39,108.662,0,-13,99,10,24,13,14,5,24,29,53
50,19,322.844,0,-13,99,10,26,15,12,11,26,33,59
57,30,15.6244,0,-13,99,10,23,16,15,11,23,36,59
55,50,82.2432,0,-13,99,11,26,12,12,11,26,34,60
58,29,8.44931,0,-13,99,9,25,15,13,16,25,38,63
56,58,97.0048,0,-13,99,17,11,18,7,10,11,34,45
59,9,62.8062,0,-13,99,11,29,13,12,11,29,34,63
0,40,217.498,0,-16,99,9,31,8,21,15,31,45,76
9,16,10.9231,0,-16,99,11,18,19,14,10,18,35,53
6,2,92.8904,0,-16,99,13,22,15,14,7,22,34,56
3,40,4.52383,0,-16,99,8,34,8,20,14,34,42,76
